original,translated
Psoas muscle abscess,Áp xe cơ PSOAS
Other pain disorders related to psychological factors,Các rối loạn đau khác liên quan đến các yếu tố tâm lý
"""Psychogenic pain, site unspecified""","""Đau đớn tâm lý, trang web không xác định"""
Psychogenic vomiting,Nôn mửa tâm lý
Other specified psychosexual disorders,Các rối loạn tâm lý được chỉ định khác
Unspecified psychosexual disorder,Rối loạn tâm lý không xác định
"""Ptosis of eyelid, unspecified""","""Ptosis của mí mắt, không xác định"""
Puberty bleeding,Tung lạy chảy máu
Pyoderma gangrenosum,Pyoderma gangrenosum
"""Pyogenic arthritis, other specified sites""","""Viêm khớp pyogen, các vị trí được chỉ định khác"""
Other specified railway accident injuring passenger on railway,Hành khách bị thương trên đường sắt được chỉ định khác trên đường sắt
Railway accident of unspecified nature injuring passenger on railway,Tai nạn đường sắt của thiên nhiên không xác định hành khách bị thương trên đường sắt
Other specific developmental reading disorder,Rối loạn đọc phát triển cụ thể khác
"""Developmental reading disorder, unspecified""","""Rối loạn đọc phát triển, không xác định"""
"""Injury to rectum, without mention of open wound into cavity""","""Chấn thương trực tràng, mà không đề cập đến vết thương hở vào khoang"""
"""Recurrent dislocation of joint, ankle and foot""","""Trật khớp tái phát khớp, mắt cá chân và chân"""
"""Recurrent dislocation of joint, lower leg""","""Trật khớp tái phát khớp, chân dưới"""
"""Manic affective disorder, recurrent episode, mild""","""Rối loạn cảm xúc hưng cảm, tập tái phát, nhẹ"""
Referred otogenic pain,Đau otogen được giới thiệu
Refractive amblyopia,Amblyopia khúc xạ
Refusal of treatment for reasons of religion or conscience,Từ chối điều trị vì lý do tôn giáo hoặc lương tâm
"""Arthropathy associated with Reiter's disease and nonspecific urethritis, other specified sites""","""Bệnh khớp liên quan đến bệnh Reiter và viêm niệu đạo không đặc hiệu, các vị trí được chỉ định khác"""
Renal osteodystrophy,Osteodystrophy
Renal vessel anomaly,Dị thường mạch thận
"""Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically""","""Bệnh lao hô hấp được chỉ định khác, Bacilli không được tìm thấy bằng cách kiểm tra vi khuẩn, nhưng bệnh lao đã xác nhận về mặt mô học"""
"""Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy""","""Bệnh lao hô hấp được chỉ định khác, Bacilli được tìm thấy (trong đờm) bằng kính hiển vi"""
"""Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]""","""Bệnh lao hô hấp được chỉ định khác, Bacilli tubercle không được tìm thấy bằng phương pháp kiểm tra vi khuẩn hoặc mô học, nhưng bệnh lao được xác nhận bằng các phương pháp khác [tiêm chủng của động vật]"""
Other respiratory complications,Biến chứng hô hấp khác
Retained dental root,Giữ lại rễ nha khoa
"""Reticulosarcoma, lymph nodes of head, face, and neck""","""Reticulosarcoma, hạch bạch huyết của đầu, mặt và cổ"""
"""Reticulosarcoma, lymph nodes of multiple sites""","""Reticulosarcoma, hạch bạch huyết của nhiều trang web"""
Unspecified retinal disorder,Rối loạn võng mạc không xác định
Retrobulbar neuritis (acute),Retrobulbar Viêm thần kinh (cấp tính)
Reverse articulation,Kết nối ngược
Rheumatic chorea without mention of heart involvement,Chorea thấp khớp mà không đề cập đến sự tham gia của trái tim
Rheumatoid arthritis,Viêm khớp dạng thấp
"""Rickets, late effect""","""Còi còi, hiệu ứng muộn"""
"""Roseola infantum, unspecified""","""Roseola Infantum, không xác định"""
Other specified disorders of bursae and tendons in shoulder region,Các rối loạn xác định khác của bursae và gân ở vùng vai
Complete rupture of rotator cuff,Hoàn thành vỡ vòng quay
Round hole of retina without detachment,Lỗ tròn của võng mạc mà không tách rời
Round window fistula,Lỗ rò cửa sổ tròn
Routine or ritual circumcision,Cắt bao quy đầu thường xuyên hoặc nghi lễ
Routine general medical examination at a health care facility,Kiểm tra y tế chung thường xuyên tại một cơ sở chăm sóc sức khỏe
Encephalomyelitis due to rubella,Viêm não do rubella
Salmonella arthritis,Viêm khớp Salmonella
Salmonella gastroenteritis,Viêm tiêu hóa Salmonella
Salmonella pneumonia,Viêm phổi Salmonella
"""Schmorl's nodes, lumbar region""","""Các nút của Schmorl, vùng thắt lưng"""
Lesion of sciatic nerve,Tổn thương thần kinh tọa
Sclerosing keratitis,Viêm giác mạc xơ cứng
Scoliosis associated with other conditions,Vẹo cột sống liên quan đến các điều kiện khác
Screening for skin conditions,Sàng lọc các tình trạng da
Screening for malignant neoplasms of skin,Sàng lọc các khối u ác tính của da
Other screening mammogram,Chụp quang tuyến vú khác
Screening for other disorders of blood and blood-forming organs,Sàng lọc các rối loạn khác của các cơ quan máu và máu hình thành
Screening for unspecified disorder of blood and blood-forming organs,Sàng lọc rối loạn không xác định của các cơ quan máu và máu
Other specified senile psychotic conditions,Các tình trạng tâm thần già được chỉ định khác
Serous labyrinthitis,Viêm mê cung huyết thanh
"""Precocious sexual development and puberty, not elsewhere classified""","""Phát triển tình dục sớm và tuổi dậy thì, không phải nơi nào khác được phân loại"""
Shigella dysenteriae,Shigella kiết lỵ
Other shock without mention of trauma,Sốc khác mà không đề cập đến chấn thương
"""Short cord complicating labor and delivery, delivered, with or without mention of antepartum condition""","""Dây ngắn làm phức tạp lao động và giao hàng, giao hàng, có hoặc không đề cập đến tình trạng chống lại"""
Sideroblastic anemia,Thiếu máu Sideroblastic
Pneumoconiosis due to other silica or silicates,Bệnh viêm phổi do silica hoặc silicat khác
Social maladjustment,Xử lý xã hội
Unspecified dermatitis due to sun,Viêm da không xác định do mặt trời
Spina bifida occulta,Spina bifida huyền bí
Other allied disorders of spine,Các rối loạn cột sống khác của đồng minh
"""Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma""","""Chấn thương lách mà không đề cập đến vết thương hở vào khoang, nước mắt nang, mà không bị gián đoạn lớn của nhu mô"""
"""Injury to spleen with open wound into cavity, hematoma without rupture of capsule""","""Chấn thương lá lách với vết thương hở vào khoang, khối máu tụ mà không bị vỡ viên nang"""
Other specified sports and athletics activity,Hoạt động thể thao và thể thao được chỉ định khác
"""Spotting complicating pregnancy, unspecified as to episode of care or not applicable""","""Phát hiện mang thai làm phức tạp, không xác định về tình trạng chăm sóc hoặc không áp dụng"""
Coracohumeral (ligament) sprain,Coracohumeral (dây chằng) bong gân
Infraspinatus (muscle) (tendon) sprain,Bong gân infraspinatus (cơ) (gân)
Sprain of lumbar,Bong gân thắt lưng
Sprain of sacrospinatus (ligament),Bong gân sacrospinatus (dây chằng)
Sprain of sacrotuberous (ligament),Bong gân của Bacrotuberous (dây chằng)
Subscapularis (muscle) sprain,Subscapularis (cơ) bong gân
Supraspinatus (muscle) (tendon) sprain,Supraspinatus (cơ) (gân) bong gân
Squamous blepharitis,Viêm vôi vảy
Staphylococcal food poisoning,Ngộ độc thực phẩm Staphylococcal
Strabismic amblyopia,Tổ chức khó hiểu
Subacute thyroiditis,Viêm tuyến giáp bán cấp
Syncope and collapse,Syncope và sụp đổ
Synovitis and tenosynovitis in diseases classified elsewhere,Viêm hoạt dịch và viêm tenosynov trong các bệnh được phân loại ở nơi khác
Secondary syphilitic hepatitis,Viêm gan giang mai thứ phát
Syphilitic interstitial keratitis,Viêm keratic kẽ giang mai
"""Tuberculosis of epididymis, unspecified""","""Bệnh lao của mào tinh hoàn, không xác định"""
"""Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture""","""Bệnh lao của thực quản, Bacilli không được tìm thấy (tính bằng mũi nhọn) bằng kính hiển vi, nhưng được tìm thấy bởi nuôi cấy vi khuẩn"""
"""Tuberculosis of esophagus, bacteriological or histological examination not done""","""Bệnh lao của thực quản, kiểm tra vi khuẩn hoặc mô học không được thực hiện"""
"""Tuberculous laryngitis, unspecified""","""Viêm thanh quản lao, không xác định"""
"""Tuberculous meningitis, unspecified""","""Viêm màng não lao, không xác định"""
"""Tuberculosis of adrenal glands, unspecified""","""Bệnh lao của tuyến thượng thận, không xác định"""
"""Tuberculosis of bladder, unspecified""","""Lao của bàng quang, không xác định"""
"""Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture""","""Bệnh lao của thận, Bacilli không tìm thấy (trong đờm) bằng kính hiển vi, nhưng được tìm thấy bởi nuôi cấy vi khuẩn"""
"""Tuberculosis of kidney, bacteriological or histological examination not done""","""Bệnh lao của thận, vi khuẩn hoặc xét nghiệm mô học không được thực hiện"""
"""Tuberculosis of knee, bacteriological or histological examination unknown (at present)""","""Tuberculosis của kiểm tra đầu gối, vi khuẩn hoặc mô học không rõ (hiện tại)"""
"""Tuberculosis of mastoid, unspecified""","""Bệnh lao của mastoid, không xác định"""
"""Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture""","""Bệnh lao của lá lách, Bacilli không được tìm thấy (trong đờm) bằng kính hiển vi, nhưng được tìm thấy bởi nuôi cấy vi khuẩn"""
"""Tuberculosis of spleen, bacteriological or histological examination not done""","""Bệnh lao của lá lách, kiểm tra vi khuẩn hoặc mô học không được thực hiện"""
"""Tuberculosis of thyroid gland, unspecified""","""Bệnh lao của tuyến giáp, không xác định"""
"""Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture""","""Bệnh lao của niệu quản, Bacilli không tìm thấy (trong đờm) bằng kính hiển vi, nhưng được tìm thấy bởi nuôi cấy vi khuẩn"""
"""Tuberculosis of ureter, bacteriological or histological examination not done""","""Bệnh lao của niệu quản, kiểm tra vi khuẩn hoặc mô học không được thực hiện"""
"""Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy""","""Vũi màng phổi, Bacilli tubercle được tìm thấy (trong đờm) bằng kính hiển vi"""
"""Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]""","""Vũ hai bệnh phổi, Bacilli tubercle không được tìm thấy bởi kiểm tra vi khuẩn hoặc mô học, nhưng bệnh lao được xác nhận bằng các phương pháp khác [tiêm chủng của động vật]"""
"""Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture""","""Viêm phổi tubercious [bất kỳ hình thức nào], Bacilli không tìm thấy (trong đờm) bằng kính hiển vi, nhưng được tìm thấy bởi nuôi cấy vi khuẩn"""
"""Tuberculous pneumonia [any form], bacteriological or histological examination not done""","""Viêm phổi bệnh lao [bất kỳ hình thức nào], kiểm tra vi khuẩn hoặc mô học không được thực hiện"""
Other activity involving other sports and athletes played as a team or group,Các hoạt động khác liên quan đến các môn thể thao và vận động viên khác đã chơi như một đội hoặc nhóm
"""Tension type headache, unspecified""","""Nhức đầu loại căng thẳng, không xác định"""
Terrorism involving chemical weapons,Khủng bố liên quan đến vũ khí hóa học
Terrorism secondary effects,Tác dụng thứ cấp khủng bố
Terrorism involving other explosions and fragments,Khủng bố liên quan đến các vụ nổ và mảnh vỡ khác
Thoracic spondylosis without myelopathy,Bệnh cột sống ngực mà không bị bệnh cơ
"""Thrombocytopenia, unspecified""","""Truyền giảm tiểu cầu, không xác định"""
Phlebitis and thrombophlebitis of other sites,Bệnh đái vân và huyết khối của các trang web khác
Phlebitis and thrombophlebitis of unspecified site,Biếngitis và thrombophlebitis của trang web không xác định
Accident to powered aircraft at takeoff or landing injuring other person,Tai nạn cho máy bay được cung cấp năng lượng khi cất cánh hoặc hạ cánh bị thương
Tobacco use disorder,Rối loạn sử dụng thuốc lá
Torus fracture of ulna (alone),Torus gãy xương của ulna (một mình)
Toxic effect of arsenic and its compounds,Tác dụng độc hại của asen và các hợp chất của nó
Toxic effect of benzene and homologues,Tác dụng độc hại của benzen và tương đồng
Toxic effect of cadmium and its compounds,Tác dụng độc hại của cadmium và các hợp chất của nó
Toxic effect of mercury and its compounds,Tác dụng độc hại của thủy ngân và các hợp chất của nó
Toxic encephalopathy,Bệnh não độc hại
Toxic shock syndrome,Hội chứng sốc độc hại
Hepatitis due to toxoplasmosis,Viêm gan do toxoplasmosis
Transverse deficiency of upper limb,Thiếu hụt ngang của chi trên
Transverse deficiency of lower limb,Thiếu hụt ngang của chi dưới
Trigeminal neuralgia,Đau thần kinh sinh ba
Tropical pyomyositis,Viêm pyomyoss nhiệt đới
Contact with or exposure to tuberculosis,Tiếp xúc hoặc tiếp xúc với bệnh lao
Tumor lysis syndrome,Hội chứng ly giải khối u
"""Tympanosclerosis, unspecified as to involvement""","""Tympanosclerosis, không xác định về sự tham gia"""
Ulcerative (chronic) proctitis,Viêm loét (mãn tính)
Neoplasm of uncertain behavior of other and unspecified digestive organs,Neoplasm của hành vi không chắc chắn của các cơ quan tiêu hóa khác và không xác định
Neoplasm of uncertain behavior of breast,Neoplasm của hành vi không chắc chắn của vú
Neoplasm of uncertain behavior of kidney and ureter,Neoplasm của hành vi không chắc chắn của thận và niệu quản
Neoplasm of uncertain behavior of larynx,Neoplasm của hành vi không chắc chắn của thanh quản
Neoplasm of uncertain behavior of pineal gland,Neoplasm của hành vi không chắc chắn của tuyến tùng
"""Neoplasm of uncertain behavior of pleura, thymus, and mediastinum""","""Neoplasm của hành vi không chắc chắn của màng phổi, tuyến ức và trung thất"""
Neoplasm of uncertain behavior of testis,Neoplasm của hành vi không chắc chắn của tinh hoàn
"""Poisoning by arsenic and its compounds, undetermined whether accidentally or purposely inflicted""","""Ngộ độc bởi asen và các hợp chất của nó, không xác định được dù vô tình hay cố tình gây ra"""
Other specified anomalies of upper alimentary tract,Các dị thường được chỉ định khác của đường cao tốc
Unspecified anomaly of upper alimentary tract,Sự bất thường không xác định của đường cao tốc
"""Injury to ureter, without mention of open wound into cavity""","""Chấn thương niệu quản, mà không đề cập đến vết thương hở vào khoang"""
Other specified anomalies of ureter,Sự bất thường được chỉ định khác của niệu quản
Urethral instability,Sự bất ổn niệu đạo
Urgency of urination,Sự cấp bách của đi tiểu
"""Urinary calculus, unspecified""","""Tính toán tiết niệu, không xác định"""
Other urinary problems,Các vấn đề tiết niệu khác
"""Injury to uterus, without mention of open wound into cavity""","""Chấn thương tử cung, mà không đề cập đến vết thương hở vào khoang"""
Need for prophylactic vaccination and inoculation against diptheria-tetanus- pertussis with typhoid-paratyphoid (DTP + TAB),Cần tiêm vắc-xin dự phòng và tiêm chủng chống lại bệnh bạch hầu-Tetanus- ho gà với bệnh thương hàn-paratyphoid (DTP + TAB)
Need for prophylactic vaccination and inoculation against influenza,Cần tiêm phòng dự phòng và tiêm chủng chống cúm
Need for prophylactic vaccination and inoculation against pertussis alone,Cần tiêm vắc -xin dự phòng và tiêm chủng chống lại sự ho gà một mình
Need for prophylactic vaccination and inoculation against tularemia,Cần tiêm vắc -xin dự phòng và tiêm chủng chống bệnh tulitemia
Contact with or exposure to venereal diseases,Liên hệ với hoặc tiếp xúc với các bệnh hoa liễu
Other specified venereal diseases,Các bệnh hoa liễu được chỉ định khác
"""Venereal disease, unspecified""","""Bệnh hoa liễu, không xác định"""
Venomous spiders causing poisoning and toxic reactions,Nhện độc gây ngộ độc và phản ứng độc hại
Unspecified vertiginous syndromes and labyrinthine disorders,Các hội chứng chóng mặt không xác định và rối loạn mê cung
"""Arthropathy associated with other viral diseases, hand""","""Bệnh khớp liên quan đến các bệnh do virus khác, tay"""
"""Arthropathy associated with other viral diseases, multiple sites""","""Bệnh khớp liên quan đến các bệnh do virus khác, nhiều trang web"""
Other specified viral meningitis,Viêm màng não do virus được chỉ định khác
Unspecified viral meningitis,Viêm màng não do virus không xác định
Visuospatial deficit,Thâm hụt trực quan
"""Volume depletion, unspecified""","""Suy giảm âm lượng, không xác định"""
"""Injury due to war operations, struck by blunt object""","""Chấn thương do hoạt động chiến tranh, bị tấn công bởi đối tượng cùn"""
Injury due to depth charge,Chấn thương do điện tích độ sâu
Injury due to war operations from flamethrower,Chấn thương do hoạt động chiến tranh từ tia lửa
Injury due to marine mines,Chấn thương do mỏ biển
"""Disruption of wound, unspecified""","""Sự gián đoạn của vết thương, không xác định"""
Bone and joint lesions due to yaws,Bone and joint lesions due to yaws
Zygomatic hypoplasia,Giảm nhôm Zygomatic
"""Erythema [first degree] of multiple sites of upper limb, except wrist and hand""","""Erythema [độ một] của nhiều vị trí của chi trên, ngoại trừ cổ tay và tay"""
Erythema [first degree] of forehead and cheek,Ban đỏ [độ đầu tiên] của trán và má
"""Erythema [first degree] of hand, unspecified site""","""Erythema [Cấp độ đầu tiên] của trang web không xác định"""
"""Erythema [first degree] of face and head, unspecified site""","""Erythema [Cấp độ đầu tiên] của khuôn mặt và đầu, trang web không xác định"""
Erythema [first degree] of multiple sites of lower limb(s),Erythema [Cấp độ đầu tiên] của nhiều vị trí của chi dưới
Erythema [first degree] of shoulder,Ban đỏ [cấp độ đầu tiên] của vai
"""Blisters, epidermal loss [second degree] of multiple sites of upper limb, except wrist and hand""","""Mụn nước, mất biểu bì [Cấp độ hai] của nhiều vị trí của chi trên, ngoại trừ cổ tay và tay"""
"""Blisters, epidermal loss [second degree] of forehead and cheek""","""Mụn nước, mất biểu bì [độ hai] của trán và má"""
"""Blisters, epidermal loss [second degree] of hand, unspecified site""","""Mụn nước, mất biểu bì [độ hai] của bàn tay, trang web không xác định"""
"""Blisters, epidermal loss [second degree] of face and head, unspecified site""","""Mụn nước, mất biểu bì [mức độ thứ hai] của khuôn mặt và đầu, trang web không xác định"""
"""Blisters, epidermal loss [second degree] of multiple sites of lower limb(s)""","""Mụn nước, mất biểu bì [mức độ thứ hai] của nhiều vị trí của chi dưới (s)"""
"""Blisters, epidermal loss [second degree] of shoulder""","""Mụn nước, mất biểu bì [mức độ hai] của vai"""
"""Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of toe(s) (nail)""","""Hoại tử sâu của các mô cơ bản [mức độ thứ ba sâu] với mất bộ phận cơ thể, ngón chân (móng tay)"""
"""Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of elbow""","""Hoại tử sâu của các mô cơ bản [mức độ thứ ba sâu] với sự mất mát của một bộ phận cơ thể, của khuỷu tay"""
"""Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of thumb (nail)""","""Hoại tử sâu của các mô tiềm ẩn [độ thứ ba sâu] với mất bộ phận cơ thể, ngón tay cái (móng tay)"""
"""Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of wrist""","""Hoại tử sâu của các mô cơ bản [mức độ thứ ba sâu] với mất bộ phận cơ thể, của cổ tay"""
"""Full-thickness skin loss [third degree, not otherwise specified] of multiple sites of upper limb, except wrist and hand""","""Mất da đầy đủ [Cấp độ thứ ba, không được chỉ định khác] của nhiều vị trí của chi trên, ngoại trừ cổ tay và tay"""
"""Full-thickness skin loss [third degree, not otherwise specified] of forehead and cheek""","""Mất da đầy đủ [độ thứ ba, không được chỉ định khác] của trán và má"""
"""Full-thickness skin loss [third degree, not otherwise specified] of hand, unspecified site""","""Mất da đầy đủ [Cấp độ thứ ba, không được chỉ định khác] của Hand, Trang web không xác định"""
"""Full-thickness skin loss [third degree, not otherwise specified] of face and head, unspecified site""","""Mất da đầy đủ [độ thứ ba, không được chỉ định khác] của khuôn mặt và đầu, trang web không xác định"""
Full-thickness skin loss [third degree NOS] of multiple sites of lower limb(s),Mất da đầy đủ [NOS cấp ba] của nhiều vị trí của chi dưới
"""Full-thickness skin loss [third degree, not otherwise specified] of shoulder""","""Mất da đầy đủ [Cấp độ thứ ba, không được chỉ định khác] của vai"""
"""Unspecified abortion, complicated by embolism, incomplete""","""Phá thai không xác định, phức tạp bởi thuyên tắc, không hoàn chỉnh"""
"""Abnormality in fetal heart rate or rhythm, unspecified as to time of onset""","""Sự bất thường về nhịp tim hoặc nhịp tim của thai nhi, không xác định theo thời gian khởi phát"""
Abdominal aneurysm without mention of rupture,Phình động mạch bụng mà không đề cập đến vỡ
Other specified abnormalities of chorion and amnion affecting fetus or newborn,Những bất thường được chỉ định khác của hợp xướng và amnion ảnh hưởng đến thai nhi hoặc trẻ sơ sinh
Unspecified abnormality of chorion and amnion affecting fetus or newborn,Sự bất thường không xác định của hợp xướng và amnion ảnh hưởng đến thai nhi hoặc trẻ sơ sinh
Abnormal retinal correspondence,Sự tương ứng võng mạc bất thường
Nonspecific abnormal electromyogram [EMG],Điện sinh học bất thường không đặc hiệu [EMG]
Abnormal bowel sounds,Âm thanh ruột bất thường
Abnormal chest sounds,Âm thanh ngực bất thường
Other nonspecific abnormal findings,Những phát hiện bất thường khác không đặc hiệu
Abnormalities of the hair,Bất thường của tóc
"""Unspecified abortion, complicated by shock, incomplete""","""Phá thai không xác định, phức tạp bởi sốc, không hoàn chỉnh"""
"""Abrasion or friction burn of other, multiple, and unspecified sites, infected""","""Sự mài mòn hoặc đốt ma sát của các trang web khác, nhiều và không xác định, bị nhiễm bệnh"""
"""Abrasion or friction burn of shoulder and upper arm, without mention of infection""","""Khai mài hoặc bỏng ma sát của vai và cánh tay trên, mà không đề cập đến nhiễm trùng"""
Acute allergic mucoid otitis media,Viêm tai mũi niêm mạc dị ứng cấp tính
Acute allergic serous otitis media,Viêm tai giữa huyết thanh dị ứng cấp tính
Acute venous embolism and thrombosis of subclavian veins,Thuyên tắc tĩnh mạch cấp tính và huyết khối của tĩnh mạch cận Mái
Acute venous embolism and thrombosis of other specified veins,Thuyên tắc tĩnh mạch cấp tính và huyết khối của các tĩnh mạch được chỉ định khác
Acute Eustachian salpingitis,Viêm salping eustachian cấp tính
"""Acute gastrojejunal ulcer without mention of hemorrhage or perforation, without mention of obstruction""","""Loét dạ dày cấp tính mà không đề cập đến xuất huyết hoặc thủng, mà không đề cập đến tắc nghẽn"""
"""Acute osteomyelitis, hand""","""Viêm tủy xương cấp tính, tay"""
"""Acute osteomyelitis, multiple sites""","""Viêm tủy xương cấp tính, nhiều trang web"""
"""Acute poliomyelitis, unspecified, poliovirus, unspecified type""","""Viêm đa thần cấp tính, không xác định, poliovirus, loại không xác định"""
Acute pyelonephritis without lesion of renal medullary necrosis,Viêm bể thận cấp tính mà không bị tổn thương hoại tử tủy thận
Acute suppurative otitis media in diseases classified elsewhere,Viêm tai giữa cấp tính trong các bệnh được phân loại ở nơi khác
Other cataclysmic earth surface movements and eruptions,Các chuyển động và sự phun trào bề mặt Trái đất thảm khốc khác
Unspecified cataclysmic earth surface movements and eruptions,Các chuyển động và sự phun trào bề mặt trái đất không xác định
Blizzard (snow) (ice),Blizzard (tuyết) (băng)
Tidalwave caused by earthquake,Tidalwave do động đất
"""Accidental poisoning by unspecified solvent, not elsewhere classified""","""Vụ ngộ độc do tai nạn bằng dung môi không xác định, không phải nơi nào khác được phân loại"""
Accidental poisoning by carbamates,Ngộ độc tình cờ bởi carbamates
Accidental poisoning by fungicides,Ngộ độc tình cờ do thuốc diệt nấm
Accidental poisoning by herbicides,Ngộ độc tình cờ bởi thuốc diệt cỏ
Accidental poisoning by other metals and their compounds and fumes,Ngộ độc tình cờ bởi các kim loại khác và các hợp chất và khói của chúng
Accidental poisoning by other paints and varnishes,Ngộ độc tình cờ bởi các loại sơn và vecni khác
Accidental poisoning by plant foods and fertilizers,Ngộ độc do thực phẩm và phân bón thực vật
Accidental poisoning from other specified plants,Ngộ độc tình cờ từ các nhà máy được chỉ định khác
Accidental poisoning by arsenic and its compounds and fumes,Ngộ độc tình cờ bởi asen và các hợp chất và khói của nó
Accidental poisoning by mercury and its compounds and fumes,Ngộ độc tình cờ bởi thủy ngân và các hợp chất và khói của nó
Accidents caused by hypodermic needle,Tai nạn do kim dưới da
Accidents occurring in other specified places,Tai nạn xảy ra ở những nơi được chỉ định khác
Accidents occurring in unspecified place,Tai nạn xảy ra ở nơi không xác định
"""Equinus deformity of foot, acquired""","""Biến dạng Equinus của bàn chân, có được"""
Other acquired deformities of hip,Biến dạng khác của hông
Unspecified acquired deformity of hip,Biến dạng không xác định của hông
Acquired spondylolisthesis,Thu được cột sống
Acrocephalosyndactyly,Acrocephalosyndactyly
"""Acute lymphoid leukemia, in remission""","""Bệnh bạch cầu lymphoid cấp tính, trong thuyên giảm"""
"""Acute myeloid leukemia, in remission""","""Bệnh bạch cầu tủy cấp tính, trong sự thuyên giảm"""
Acute endophthalmitis,Endophthalmitis cấp tính
Other acute myocarditis,Viêm cơ tim cấp tính khác
"""Acute myocarditis, unspecified""","""Viêm cơ tim cấp tính, không xác định"""
Acute nasopharyngitis [common cold],Viêm mũi họng cấp tính [lạnh thông thường]
Other acute postoperative pain,Đau sau phẫu thuật cấp tính khác
Meningitis due to adenovirus,Viêm màng não do adenovirus
Adenovirus infection in conditions classified elsewhere and of unspecified site,Nhiễm Adenovirus trong các điều kiện được phân loại ở nơi khác và trang web không xác định
"""Adhesions of iris, unspecified""","""Sự kết dính của mống mắt, không xác định"""
Adhesive pericarditis,Chất kết dính viêm màng ngoài tim
Other adjustment reactions with predominant disturbance of other emotions,Các phản ứng điều chỉnh khác với sự xáo trộn chiếm ưu thế của các cảm xúc khác
Fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord),Phù hợp và điều chỉnh của nhà sản xuất thần kinh (não) (dây thần kinh ngoại biên) (tủy sống)
Anomalies of adrenal gland,Bất thường của tuyến thượng thận
Carbonic acid anhydrase inhibitors causing adverse effects in therapeutic use,Các chất ức chế anhydrase axit carbonic gây ra tác dụng phụ trong sử dụng điều trị
Alcohol deterrents causing adverse effects in therapeutic use,Các răn đe rượu gây ra tác dụng phụ trong sử dụng điều trị
Unspecified analgesic and antipyretic causing adverse effects in therapeutic use,Thuốc giảm đau không xác định và chống đối gây ra tác dụng phụ trong sử dụng điều trị
Anterior pituitary hormones causing adverse effects in therapeutic use,Hormone tuyến yên trước gây ra tác dụng phụ trong sử dụng điều trị
Anthelmintics causing adverse effects in therapeutic use,Anthelmintics gây ra tác dụng phụ trong sử dụng điều trị
"""Antidotes and chelating agents, not elsewhere classified, causing adverse effects in therapeutic use""","""Thuốc giải độc và tác nhân chelating, không phải nơi nào khác được phân loại, gây ra tác dụng phụ trong việc sử dụng điều trị"""
Antimalarials and drugs acting on other blood protozoa causing adverse effects in therapeutic use,Antimalarials và thuốc tác dụng với động vật nguyên sinh khác gây ra tác dụng phụ trong việc sử dụng điều trị
Antipruritics causing adverse effects in therapeutic use,Thuốc chống đối gây ra tác dụng phụ trong sử dụng điều trị
Capillary-active drugs causing adverse effects in therapeutic use,Thuốc hoạt động mao quản gây ra tác dụng phụ trong sử dụng điều trị
Cephalosporin group causing adverse effects in therapeutic use,Nhóm cephalosporin gây ra tác dụng phụ trong sử dụng điều trị
Other diuretics causing adverse effects in therapeutic use,Tiểu lợi khác gây ra tác dụng phụ trong việc sử dụng điều trị
Psychodysleptics [hallucinogens] causing adverse effects in therapeutic use,Tâm lý học [ảo giác] gây ra tác dụng phụ trong việc sử dụng điều trị
Other drugs and medicinal substances causing adverse effects in therapeutic use,Các loại thuốc và các chất thuốc khác gây ra tác dụng phụ trong việc sử dụng điều trị
Unspecified drug or medicinal substance causing adverse effects in therapeutic use,Thuốc không xác định hoặc chất thuốc gây ra tác dụng phụ trong sử dụng điều trị
Poliomyelitis vaccine causing adverse effects in therapeutic use,Vắc -xin viêm đa cơ gây ra tác dụng phụ trong sử dụng điều trị
Activity involving aerobic and step exercise,Hoạt động liên quan đến tập thể dục nhịp điệu và bước
Aftercare for healing pathologic fracture of hip,Chăm sóc sau khi chữa lành gãy xương bệnh lý
Agoraphobia without mention of panic attacks,Agoraphobia mà không đề cập đến các cuộc tấn công hoảng loạn
Alcoholic fatty liver,Gan béo
"""Allergic arthritis, hand""","""Viêm khớp dị ứng, tay"""
"""Allergic arthritis, multiple sites""","""Viêm khớp dị ứng, nhiều trang web"""
Allergic rhinitis due to other allergen,Viêm mũi dị ứng do dị ứng khác
